Time,Category,Message,
9/28/2025 4:37:10 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connection lost,
9/28/2025 4:37:09 PM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-011.ninjatrader.com,
9/28/2025 4:36:59 PM,Connection,Tradeify: Primary connection=Connected Price feed=Connected,
9/28/2025 4:36:59 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connected,
9/28/2025 4:36:58 PM,Connection,TakeProfit: Primary connection=Connection lost Price feed=Connected,
9/28/2025 4:36:58 PM,Connection,Tradeify: Primary connection=Connection lost Price feed=Connected,
9/28/2025 4:36:51 PM,System,NinjaTrader has detected your system has recovered from a suspended state,
9/28/2025 4:36:45 PM,Default,Unable to load server side config file: The remote name could not be resolved: 'license2.ninjatrader.com',
9/28/2025 3:29:53 PM,System,NinjaTrader has detected your system is entering a suspended state,
9/28/2025 1:57:27 PM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-011.ninjatrader.com,
9/28/2025 1:57:27 PM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-011.ninjatrader.com,
9/28/2025 1:56:25 PM,Connection,Using HDS (hds-us-nt-018.ninjatrader.com/31655),
9/28/2025 1:56:25 PM,Connection,Using HDS (hds-us-nt-018.ninjatrader.com/31655),
9/28/2025 1:56:15 PM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-020.ninjatrader.com,
9/28/2025 1:56:15 PM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-020.ninjatrader.com,
9/28/2025 11:59:01 AM,Connection,TakeProfit: Primary connection=Connected Price feed=Connected,
9/28/2025 11:59:00 AM,Connection,Tradeify: Primary connection=Connected Price feed=Connected,
9/28/2025 11:59:00 AM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-020.ninjatrader.com,
9/28/2025 11:59:00 AM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-020.ninjatrader.com,
9/28/2025 11:59:00 AM,Connection,Using HDS (hds-us-nt-020.ninjatrader.com/31655),
9/28/2025 11:59:00 AM,Connection,Using HDS (hds-us-nt-020.ninjatrader.com/31655),
9/28/2025 11:58:57 AM,Connection,Connection restored to the NinjaTrader Information Server: is-us-nt-005.ninjatrader.com,
9/28/2025 11:58:57 AM,Connection,Using HDS (is-us-nt-005.ninjatrader.com/31658),
9/28/2025 11:58:55 AM,System,NinjaTrader has detected your system has recovered from a suspended state,
9/28/2025 11:58:50 AM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-011.ninjatrader.com,
9/28/2025 11:58:50 AM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-015.ninjatrader.com,
9/28/2025 11:58:50 AM,Connection,TakeProfit: Primary connection=Connection lost Price feed=Connection lost,
9/28/2025 11:58:50 AM,Connection,Tradeify: Primary connection=Connection lost Price feed=Connected,
9/28/2025 11:58:50 AM,Connection,TakeProfit: Primary connection=Connected Price feed=Connection lost,
9/28/2025 11:58:48 AM,Default,Unable to load server side config file: The remote name could not be resolved: 'license2.ninjatrader.com',
9/28/2025 11:58:47 AM,Connection,Connection lost to the NinjaTrader Information Server: is-us-nt-006.ninjatrader.com,
